Category,Item,Jun-26,Jul-26,Aug-26,Sep-26,Oct-26,Nov-26,Dec-26,Jan-27,Feb-27,Mar-27,Apr-27,May-27,Jun-27,Jul-27,Aug-27,Sep-27,Oct-27,Nov-27,Dec-27,Jan-28,Feb-28,Mar-28,Apr-28
Events,,Incorporation,,,,,,,,,,,Mainnet Launch,,,,,,,TGE,,,
Financing,PreSeed,750000,,,,,,,,,,,,,,,,,,,,,,
Financing,Seed,,,,,,,,,,,,,1333333.33,,,,,,,,,,

Revenue,Sales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Revenue,Total Sales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

COGS,Opening Inventory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COGS,Purchases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COGS,Closing Inventory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COGS,Total COGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Gross Profit,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Personnel,CEO (Muse),8333.33,8333.33,8333.33,8333.33,8333.33,8333.33,8333.33,8333.33,8333.33,8333.33,8333.33,8333.33,8333.33,8333.33,8333.33,8333.33,8333.33,8333.33,8333.33,8333.33,8333.33,8333.33,8333.33
Personnel,Backend Engineer,0,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
Personnel,Research Engineer,0,0,0,0,0,9166.67,9166.67,9166.67,9166.67,9166.67,9166.67,9166.67,9166.67,9166.67,9166.67,9166.67,9166.67,9166.67,9166.67,9166.67,9166.67,9166.67,9166.67
Personnel,Payroll Tax (7.65%),638,638,1403,1403,1403,2089,2089,2089,2089,2089,2089,2089,2089,2089,2089,2089,2089,2089,2089,2089,2089,2089,2089

Benefits,Health Insurance (3人),500,500,1000,1000,1000,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
Benefits,401k Matching (5%),417,417,917,917,917,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375

Office,Muse Rent (NYC),2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
Office,Coworking (3 seats),1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500

Utilities,Internet,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Utilities,Phone (3人),50,50,100,100,100,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150

Software,AWS,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
Software,Helius/QuickNode,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Software,GitHub,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Software,Notion,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Software,Slack,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Software,Datadog/Sentry,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Software,Other SaaS,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200

Legal,Fenwick Retainer,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
Legal,Stripe Atlas (Initial),739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legal,SAFE Contract,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legal,Terms of Service,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legal,Trademark,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legal,Delaware Franchise Tax,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0

Tax,Armanino Setup,3000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax,Armanino Monthly,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
Tax,Bench.co (Bookkeeping),300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
Tax,QuickBooks,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
Tax,Gusto (Payroll),58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
Tax,Cyber Insurance (Annual),6000,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0
Tax,R&D Tax Credit,3000,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0
Tax,QSBS Review,2000,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0
Tax,Annual Tax Filing,0,0,0,0,0,0,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0

Security,Security Audit,0,0,0,0,0,0,0,0,0,0,0,833,833,833,833,833,833,833,833,833,833,833,833

Marketing,PR & Community,500,500,500,500,500,500,500,500,500,500,500,500,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Marketing,Design,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
Marketing,Domain,50,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0

Travel,VC Meetings,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Travel,Conferences,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500

Recruiting,Hiring Costs,0,0,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,0,0,0,0,0,0,0,0,0,0,0

Contingency,Buffer (10%),4595,3812,4180,4180,4180,4464,4464,4464,4464,4464,4464,4464,5178,4262,4262,4262,4262,4262,4262,4262,4262,4262,4262

Total SG&A,,55545,46620,48799,48799,48799,52139,52139,52139,52139,52139,52139,52139,60378,47617,47617,47617,47617,47617,47617,47617,47617,47617,47617

Beginning Balance,,750000,694455,647835,599036,550237,501438,449299,397160,345021,292882,240743,188604,136465,1409820,1349442,1301825,1254208,1206591,1158974,1111357,1063740,1016123,968506
Ending Balance,,694455,647835,599036,550237,501438,449299,397160,345021,292882,240743,188604,136465,84087,1362203,1302208,1254208,1206591,1158974,1111357,1063740,1016123,968506,920889

EBIT,,-55545,-46620,-48799,-48799,-48799,-52139,-52139,-52139,-52139,-52139,-52139,-52139,-60378,-47617,-47617,-47617,-47617,-47617,-47617,-47617,-47617,-47617,-47617
Net Income,,-55545,-46620,-48799,-48799,-48799,-52139,-52139,-52139,-52139,-52139,-52139,-52139,-60378,-47617,-47617,-47617,-47617,-47617,-47617,-47617,-47617,-47617,-47617
