Category,Subcategory,Item,Jun-26,Jul-26,Aug-26,Sep-26,Oct-26,Nov-26,Dec-26,Jan-27,Feb-27,Mar-27,Apr-27,May-27,Jun-27,Jul-27,Aug-27,Sep-27,Oct-27,Nov-27,Dec-27,Jan-28,Feb-28,Mar-28,Apr-28
Events,,,Incorporation,,,,,,,,,,,Mainnet Launch,,,,,,,TGE,,,
Financing,,PreSeed,750000,,,,,,,,,,,,,,,,,,,,,,
Financing,,Seed,,,,,,,,,,,,,1333333.33,,,,,,,,,,

Revenue,,Sales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Revenue,,Total Sales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

COGS,,Opening Inventory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COGS,,Purchases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COGS,,Closing Inventory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COGS,,Total COGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Gross Profit,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

R&D,Personnel,CEO (Muse),8333.33,8333.33,8333.33,8333.33,8333.33,8333.33,8333.33,8333.33,8333.33,8333.33,8333.33,8333.33,8333.33,8333.33,8333.33,8333.33,8333.33,8333.33,8333.33,8333.33,8333.33,8333.33,8333.33
R&D,Personnel,Backend Engineer,0,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
R&D,Personnel,Research Engineer,0,0,0,0,0,9166.67,9166.67,9166.67,9166.67,9166.67,9166.67,9166.67,9166.67,9166.67,9166.67,9166.67,9166.67,9166.67,9166.67,9166.67,9166.67,9166.67,9166.67
R&D,Personnel,Payroll Tax (7.65%),638,638,1403,1403,1403,2089,2089,2089,2089,2089,2089,2089,2089,2089,2089,2089,2089,2089,2089,2089,2089,2089,2089
R&D,Benefits,Health Insurance (3人),500,500,1000,1000,1000,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
R&D,Benefits,401k Matching (5%),417,417,917,917,917,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375
R&D,Software,AWS,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
R&D,Software,Helius/QuickNode,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
R&D,Software,GitHub,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
R&D,Software,Datadog/Sentry,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
R&D,Security,Security Audit,0,0,0,0,0,0,0,0,0,0,0,833,833,833,833,833,833,833,833,833,833,833,833
R&D,Total,,11638,11638,22403,22403,22403,25714,25714,25714,25714,25714,25714,26547,26547,26547,26547,26547,26547,26547,26547,26547,26547,26547,26547

S&M,Marketing,PR & Community,500,500,500,500,500,500,500,500,500,500,500,500,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
S&M,Marketing,Design,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
S&M,Marketing,Domain,50,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0
S&M,Travel,VC Meetings,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
S&M,Travel,Conferences,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
S&M,Total,,2550,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,3050,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000

G&A,Office,Muse Rent (NYC),2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
G&A,Office,Coworking (3 seats),1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
G&A,Utilities,Internet,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
G&A,Utilities,Phone (3人),50,50,100,100,100,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
G&A,Software,Notion,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
G&A,Software,Slack,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
G&A,Software,Other SaaS,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
G&A,Legal,Fenwick Retainer,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
G&A,Legal,Stripe Atlas (Initial),739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G&A,Legal,Terms of Service,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G&A,Legal,Trademark,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G&A,Legal,Delaware Franchise Tax,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0
G&A,Tax,Armanino Setup,3000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G&A,Tax,Armanino Monthly,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
G&A,Tax,Bench.co (Bookkeeping),300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
G&A,Tax,QuickBooks,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
G&A,Tax,Gusto (Payroll),58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
G&A,Tax,Cyber Insurance (Annual),6000,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0
G&A,Tax,R&D Tax Credit,3000,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0
G&A,Tax,QSBS Review,2000,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0
G&A,Tax,Annual Tax Filing,0,0,0,0,0,0,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0
G&A,Recruiting,Hiring Costs,0,0,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,0,0,0,0,0,0,0,0,0,0,0
G&A,Total,,22567,15808,12545,12545,12545,12545,12545,12545,12545,12545,12545,12545,23383,11883,11883,11883,11883,11883,11883,11883,11883,11883,11883

Total Operating Expenses,,,36755,29946,37448,37448,37448,40759,40759,40759,40759,40759,40759,41592,52980,41430,41430,41430,41430,41430,41430,41430,41430,41430,41430

Beginning Balance,,,750000,713245,683299,645851,608403,570955,530196,489437,448678,407919,367160,326401,284809,1565162,1512182,1470752,1429322,1387892,1346462,1305032,1263602,1222172,1180742
Ending Balance,,,713245,683299,645851,608403,570955,530196,489437,448678,407919,367160,326401,284809,231829,1523732,1470752,1429322,1387892,1346462,1305032,1263602,1222172,1180742,1139312

EBIT,,,-36755,-29946,-37448,-37448,-37448,-40759,-40759,-40759,-40759,-40759,-40759,-41592,-52980,-41430,-41430,-41430,-41430,-41430,-41430,-41430,-41430,-41430,-41430
Net Income,,,-36755,-29946,-37448,-37448,-37448,-40759,-40759,-40759,-40759,-40759,-40759,-41592,-52980,-41430,-41430,-41430,-41430,-41430,-41430,-41430,-41430,-41430,-41430
